NumEvt: 650009, year=1660, I0 from catalogue = 8.5
Barycenter Io:9.16
Barycenter M:6.54
Barycenter H:9.7
H[km]	Mag	Io	PDF
9.4980	6.7797	9.1717	0.000061
9.9744	6.7797	9.1717	0.000253
10.4747	6.7797	9.1717	0.000380
11.0000	6.7797	9.1717	0.000196
7.0814	6.8814	9.1717	0.000128
7.4365	6.8814	9.1717	0.000538
7.8095	6.8814	9.1717	0.000526
8.2012	6.8814	9.1717	0.000802
8.6125	6.8814	9.1717	0.000112
7.8095	6.9831	9.1717	0.000053
8.2012	6.9831	9.1717	0.000346
8.6125	6.9831	9.1717	0.000355
9.0444	6.9831	9.1717	0.000654
9.4980	6.9831	9.1717	0.000133
8.6125	7.0847	9.1717	0.000020
9.0444	7.0847	9.1717	0.000045
9.4980	7.0847	9.1717	0.000078
9.9744	7.0847	9.1717	0.000029
6.1145	6.0678	9.2727	0.000198
6.4211	6.0678	9.2727	0.000173
6.7432	6.0678	9.2727	0.000116
7.0814	6.0678	9.2727	0.000027
6.1145	6.1695	9.2727	0.000005
6.4211	6.1695	9.2727	0.000153
6.7432	6.1695	9.2727	0.000515
7.0814	6.1695	9.2727	0.000815
7.4365	6.1695	9.2727	0.001907
7.8095	6.1695	9.2727	0.000418
8.2012	6.1695	9.2727	0.000069
7.0814	6.2712	9.2727	0.000125
7.4365	6.2712	9.2727	0.001369
7.8095	6.2712	9.2727	0.001829
8.2012	6.2712	9.2727	0.004012
8.6125	6.2712	9.2727	0.001383
9.0444	6.2712	9.2727	0.000898
6.1145	6.3729	9.2727	0.000108
6.4211	6.3729	9.2727	0.000076
6.7432	6.3729	9.2727	0.000071
7.0814	6.3729	9.2727	0.000077
7.4365	6.3729	9.2727	0.000186
7.8095	6.3729	9.2727	0.000210
8.2012	6.3729	9.2727	0.001665
8.6125	6.3729	9.2727	0.001438
9.0444	6.3729	9.2727	0.004448
9.4980	6.3729	9.2727	0.001991
9.9744	6.3729	9.2727	0.000315
6.1145	6.4746	9.2727	0.000073
6.4211	6.4746	9.2727	0.000120
6.7432	6.4746	9.2727	0.000227
7.0814	6.4746	9.2727	0.000326
7.4365	6.4746	9.2727	0.000881
7.8095	6.4746	9.2727	0.000646
8.2012	6.4746	9.2727	0.000793
8.6125	6.4746	9.2727	0.000268
9.0444	6.4746	9.2727	0.003463
9.4980	6.4746	9.2727	0.007353
9.9744	6.4746	9.2727	0.000917
10.4747	6.4746	9.2727	0.000442
6.1145	6.5763	9.2727	0.000163
6.4211	6.5763	9.2727	0.000136
6.7432	6.5763	9.2727	0.000108
7.0814	6.5763	9.2727	0.000129
7.4365	6.5763	9.2727	0.000823
7.8095	6.5763	9.2727	0.000802
8.2012	6.5763	9.2727	0.002379
8.6125	6.5763	9.2727	0.001337
9.0444	6.5763	9.2727	0.003840
9.4980	6.5763	9.2727	0.013983
9.9744	6.5763	9.2727	0.020298
10.4747	6.5763	9.2727	0.009566
6.1145	6.6780	9.2727	0.000076
6.7432	6.6780	9.2727	0.000090
7.0814	6.6780	9.2727	0.000183
7.4365	6.6780	9.2727	0.000305
7.8095	6.6780	9.2727	0.000134
8.2012	6.6780	9.2727	0.000583
8.6125	6.6780	9.2727	0.000560
9.0444	6.6780	9.2727	0.001810
9.4980	6.6780	9.2727	0.004043
9.9744	6.6780	9.2727	0.016821
10.4747	6.6780	9.2727	0.030413
11.0000	6.6780	9.2727	0.010622
6.1145	6.7797	9.2727	0.000260
6.4211	6.7797	9.2727	0.000196
6.7432	6.7797	9.2727	0.000157
7.0814	6.7797	9.2727	0.000129
7.4365	6.7797	9.2727	0.000044
7.8095	6.7797	9.2727	0.000064
8.2012	6.7797	9.2727	0.000057
9.0444	6.7797	9.2727	0.000053
9.4980	6.7797	9.2727	0.000260
9.9744	6.7797	9.2727	0.000363
10.4747	6.7797	9.2727	0.005151
11.0000	6.7797	9.2727	0.007038
6.1145	6.8814	9.2727	0.000038
6.4211	6.8814	9.2727	0.000090
6.7432	6.8814	9.2727	0.000253
7.0814	6.8814	9.2727	0.000278
7.4365	6.8814	9.2727	0.000677
7.8095	6.8814	9.2727	0.000079
7.4365	6.9831	9.2727	0.000234
7.8095	6.9831	9.2727	0.000210
8.2012	6.9831	9.2727	0.000484
8.6125	6.9831	9.2727	0.000072
9.0444	6.9831	9.2727	0.000033
8.2012	7.0847	9.2727	0.000034
8.6125	7.0847	9.2727	0.000020
9.0444	7.0847	9.2727	0.000046
6.1145	6.0678	9.3737	0.000210
6.4211	6.0678	9.3737	0.000019
6.1145	6.1695	9.3737	0.000418
6.4211	6.1695	9.3737	0.000564
6.7432	6.1695	9.3737	0.000700
7.0814	6.1695	9.3737	0.000606
7.4365	6.1695	9.3737	0.000291
6.4211	6.2712	9.3737	0.000088
6.7432	6.2712	9.3737	0.000345
7.0814	6.2712	9.3737	0.000747
7.4365	6.2712	9.3737	0.002932
7.8095	6.2712	9.3737	0.001236
8.2012	6.2712	9.3737	0.001158
8.6125	6.2712	9.3737	0.000060
6.1145	6.3729	9.3737	0.000100
6.4211	6.3729	9.3737	0.000043
6.7432	6.3729	9.3737	0.000084
7.0814	6.3729	9.3737	0.000050
7.4365	6.3729	9.3737	0.000689
7.8095	6.3729	9.3737	0.000800
8.2012	6.3729	9.3737	0.002967
8.6125	6.3729	9.3737	0.001568
9.0444	6.3729	9.3737	0.000939
9.4980	6.3729	9.3737	0.000084
6.1145	6.4746	9.3737	0.000207
6.4211	6.4746	9.3737	0.000229
6.7432	6.4746	9.3737	0.000318
7.0814	6.4746	9.3737	0.000352
7.4365	6.4746	9.3737	0.000886
7.8095	6.4746	9.3737	0.000110
8.2012	6.4746	9.3737	0.001504
8.6125	6.4746	9.3737	0.002762
9.0444	6.4746	9.3737	0.006162
9.4980	6.4746	9.3737	0.000619
9.9744	6.4746	9.3737	0.000195
6.1145	6.5763	9.3737	0.000165
6.4211	6.5763	9.3737	0.000091
6.7432	6.5763	9.3737	0.000251
7.0814	6.5763	9.3737	0.000347
7.4365	6.5763	9.3737	0.001331
7.8095	6.5763	9.3737	0.001022
8.2012	6.5763	9.3737	0.002241
8.6125	6.5763	9.3737	0.002624
9.0444	6.5763	9.3737	0.011414
9.4980	6.5763	9.3737	0.018776
9.9744	6.5763	9.3737	0.005870
6.1145	6.6780	9.3737	0.000062
6.4211	6.6780	9.3737	0.000128
6.7432	6.6780	9.3737	0.000085
7.0814	6.6780	9.3737	0.000060
7.4365	6.6780	9.3737	0.000255
7.8095	6.6780	9.3737	0.000313
8.2012	6.6780	9.3737	0.001108
8.6125	6.6780	9.3737	0.000863
9.0444	6.6780	9.3737	0.003196
9.4980	6.6780	9.3737	0.015230
9.9744	6.6780	9.3737	0.028235
10.4747	6.6780	9.3737	0.011914
6.1145	6.7797	9.3737	0.000219
6.4211	6.7797	9.3737	0.000046
6.7432	6.7797	9.3737	0.000016
7.0814	6.7797	9.3737	0.000032
7.4365	6.7797	9.3737	0.000060
8.2012	6.7797	9.3737	0.000040
8.6125	6.7797	9.3737	0.000076
